case_id,member_state,authority,ecli,year,sector,legal_basis,violation_type,enforcing_body,damages_awarded,fine_amount,harm_type,cross_border
EU-001,IE,Circuit Court (Ireland),,2023,other,Art. 82; Art. 6,unlawful_processing,court_first_instance,2000,NA,non_material,FALSE
EU-002,IE,Circuit Court (Ireland),,2023,other,Art. 82; Art. 9,unlawful_processing,court_first_instance,7500,NA,non_material,FALSE
EU-003,DE,Landgericht Köln,,2023,social_media,Art. 82,security_breach,court_first_instance,NA,NA,none_found,TRUE
EU-004,DE,Landgericht Köln,,2022,financial_services,Art. 82; Art. 32; Art. 5,security_breach,court_first_instance,1200,NA,non_material,FALSE
EU-005,FR,Commission Nationale de l'Informatique et des Libertés,,2025,ecommerce,Art. 6; Art. 12; Art. 13; Art. 32; Art. 35,unlawful_processing,DPA,NA,3500000,none_found,TRUE
EU-006,FI,Office of the Data Protection Ombudsman (Finland),,2020,other,Art. 13; Art. 21,transparency_failure,DPA,NA,100000,none_found,FALSE
EU-007,FI,Office of the Data Protection Ombudsman (Finland),,2023,financial_services,Art. 12; Art. 15,data_subject_rights,DPA,NA,750000,none_found,FALSE
EU-008,FI,Office of the Data Protection Ombudsman (Finland),,2023,health_tech,Art. 9,unlawful_processing,DPA,NA,122000,none_found,TRUE
EU-009,EE,Andmekaitse Inspektsioon,,2025,other,Art. 32,security_breach,DPA,NA,3000000,none_found,FALSE
EU-010,EE,Andmekaitse Inspektsioon,,2022,other,Art. 6; Art. 12; Art. 13,unlawful_processing,DPA,NA,NA,none_found,FALSE
EU-011,IE,Circuit Court (Ireland),,2024,other,Art. 82; Art. 15; Art. 5,unlawful_processing,court_first_instance,5500,NA,non_material,FALSE
EU-012,IE,Supreme Court (Ireland),,2025,financial_services,Art. 82,security_breach,court_appeal,NA,NA,not_yet_decided,FALSE
EU-013,DE,Oberlandesgericht Dresden,ECLI:DE:OLGDRES:2024:1210.4U808.24.00,2024,social_media,Art. 82; Art. 6; Art. 15; Art. 25,security_breach,court_appeal,100,NA,non_material,TRUE
EU-014,FR,Cour d'appel de Chambéry,,2025,adtech,Art. 82; Art. 6; Art. 14; Art. 17,unlawful_processing,court_appeal,50000,NA,multiple,TRUE
EU-015,NL,Rechtbank Noord-Holland,ECLI:NL:RBNHO:2026:5128,2026,ecommerce,Art. 6; Art. 17,unlawful_processing,court_first_instance,NA,NA,none_found,FALSE
EU-016,ES,Agencia Española de Protección de Datos,,2025,other,Art. 6; Art. 82,security_breach,DPA,NA,200000,none_found,FALSE
EU-017,FR,Commission Nationale de l'Informatique et des Libertés,,2022,adtech,Art. 6,unlawful_processing,DPA,NA,8000000,none_found,TRUE
EU-018,LT,Valstybinė duomenų apsaugos inspekcija,,2021,financial_services,Art. 32,security_breach,DPA,NA,NA,none_found,FALSE
EU-019,EL,Hellenic Data Protection Authority,,2025,financial_services,Art. 15; Art. 12,data_subject_rights,DPA,NA,3000,none_found,FALSE
EU-020,DE,Amtsgericht München,,2022,financial_services,Art. 82; Art. 32,security_breach,court_first_instance,NA,NA,none_found,FALSE
EU-021,DE,Landesarbeitsgericht Nürnberg,,2023,other,Art. 82; Art. 15,data_subject_rights,court_appeal,NA,NA,none_found,FALSE
EU-022,NL,Rechtbank Den Haag,ECLI:NL:RBDHA:2023:14359,2023,other,Art. 82; Art. 15,security_breach,court_first_instance,NA,NA,not_yet_decided,FALSE
EU-023,IT,Corte di Cassazione,,2023,other,Art. 82,unlawful_processing,court_appeal,NA,NA,not_yet_decided,FALSE
EU-024,PL,Sąd Rejonowy w Nowym Sączu,,2025,other,Art. 82; Art. 79,unlawful_processing,court_first_instance,6500,NA,non_material,FALSE
EU-025,PL,Sąd Okręgowy w Warszawie,,2026,financial_services,Art. 82,security_breach,court_first_instance,9300,NA,non_material,FALSE
EU-026,DE,Oberlandesgericht Koblenz,ECLI:DE:OLGKOBL:2022:0518.5U2141.21.00,2022,financial_services,Art. 82; Art. 6,unlawful_processing,court_appeal,500,NA,non_material,FALSE
EU-027,HU,Nemzeti Adatvédelmi és Információszabadság Hatóság,,2024,ecommerce,Art. 5; Art. 12; Art. 13,transparency_failure,DPA,NA,204000,none_found,FALSE
EU-028,FI,Office of the Data Protection Ombudsman (Finland),,2021,other,Art. 5; Art. 24; Art. 25,unlawful_processing,DPA,NA,NA,none_found,FALSE
